2050,1,1,24,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,1.4,-2.2,75,102650,0,0,321,0,0,0,0,0,0,0,0,0,10,9,9999,99999,9,999999999,91,999,999,99
2050,1,2,1,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,0.5,-2,82,102750,0,0,307,0,0,0,0,0,0,0,0,0,9,9,9999,99999,9,999999999,91,999,999,99
2050,1,2,2,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,0.5,-2,82,102750,0,0,316,0,0,0,0,0,0,0,0,0,10,9,9999,99999,9,999999999,91,999,999,99
2050,1,2,3,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-0.4,-2.9,81,102850,0,0,274,0,0,0,0,0,0,0,0,0,6,6,9999,99999,9,999999999,91,999,999,99
2050,1,2,4,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-0.4,-2.9,81,102850,0,0,255,0,0,0,0,0,0,0,0,0,4,4,9999,99999,9,999999999,100,999,999,99
2050,1,2,5,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-1.4,-3.9,81,102850,0,0,279,0,0,0,0,0,0,0,0,0,7,6,9999,99999,9,999999999,100,999,999,99
2050,1,2,6,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,0.5,-3,75,102950,0,0,307,0,0,0,0,0,0,0,350,1.5,9,9,9999,99999,9,999999999,100,999,999,99
2050,1,2,7,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,0.5,-4.2,68,102950,0,0,316,0,0,0,0,0,0,0,20,1.5,10,9,9999,99999,9,999999999,91,999,999,99
2050,1,2,8,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-1.4,-3.9,81,103050,35,777,269,2,0,2,240,0,240,76,0,0,6,6,9999,99999,9,999999999,100,999,999,99
2050,1,2,9,0,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,1.4,-5.5,57,103150,229,1413,258,97,109,79,10430,7322,9167,1687,330,1.5,4,4,9999,99999,9,999999999,100,999,999,99
